284,"7a","HOM","CH","537",3,1,,
285,"7a","SFN","PH","Ph 2",1,4,,
285,"7a","SFN","PH","Ph 2",5,2,,
286,"7a","PRN","E5","122",1,3,,
286,"7a","PRN","E5","122",4,1,,
286,"7a","PRN","E5","122",5,1,,
287,"7a","ALV","F6","122",1,5,,
287,"7a","ALV","F6","122",3,2,,
287,"7b","HRM","F6","133",1,5,,
287,"7b","HRM","F6","133",3,2,,
287,"7c","BDN","F6","137",1,5,,
287,"7c","BDN","F6","137",3,2,,
287,"7a","BEM","L6","222",1,5,,
287,"7a","BEM","L6","222",3,2,,
287,"7b","BEM","L6","222",1,5,,
287,"7b","BEM","L6","222",3,2,,
287,"7c","BEM","L6","222",1,5,,
287,"7c","BEM","L6","222",3,2,,
288,"7a","PRN","ER","122",1,1,,
288,"7a","PRN","ER","122",4,5,,
288,"7b","JAK","ER","133",1,1,,
288,"7b","JAK","ER","133",4,5,,
288,"7c","KLF","ER","137",1,1,,
288,"7c","KLF","ER","137",4,5,,
288,"7a","ALV","KR","113",1,1,,
288,"7a","ALV","KR","113",4,5,,
288,"7b","ALV","KR","113",1,1,,
288,"7b","ALV","KR","113",4,5,,
288,"7c","ALV","KR","113",1,1,,
288,"7c","ALV","KR","113",4,5,,
289,"7a","GÖB","SP","gr SpH",2,5,,
289,"7a","GÖB","SP","gr SpH",4,4,,
290,"7a","EWE","ORI","122",5,4,,
291,"7b","MÖL","D","133",1,4,,
291,"7b","MÖL","D","133",3,1,,
291,"7b","MÖL","D","133",4,2,,
292,"7b","JAR","CH","537",2,5,,
292,"7b","JAR","CH","537",3,4,,
293,"7b","KEU","E5","133",3,3,,
293,"7b","KEU","E5","133",4,4,,
293,"7b","KEU","E5","133",5,2,,
294,"7b","JAK","M","133",1,3,,
294,"7b","JAK","M","133",2,3,,
294,"7b","JAK","M","133",5,4,,
295,"7b","MÖL","ORI","133",5,3,,
296,"7b","WES","SP","kl SpH",2,2,,
296,"7b","WES","SP","kl SpH",4,3,,
